database,dataset_size,indexing,operation,trial_no,execution_time_ms,timestamp
mysql,10000,indexed,create,1,3.2403,2026-05-09T20:41:16
mysql,10000,indexed,read,1,1.1087,2026-05-09T20:41:16
mysql,10000,indexed,update,1,1.1131,2026-05-09T20:41:16
mysql,10000,indexed,delete,1,3.8005,2026-05-09T20:41:16
mysql,10000,no_index,create,1,2.0833,2026-05-09T20:41:21
mysql,10000,no_index,read,1,8.3051,2026-05-09T20:41:21
mysql,10000,no_index,update,1,16.9644,2026-05-09T20:41:21
mysql,10000,no_index,delete,1,18.3491,2026-05-09T20:41:21
mongodb,10000,indexed,create,1,0.6724,2026-05-09T20:41:25
mongodb,10000,indexed,read,1,0.6991,2026-05-09T20:41:25
mongodb,10000,indexed,update,1,0.7504,2026-05-09T20:41:25
mongodb,10000,indexed,delete,1,0.7344,2026-05-09T20:41:25
mongodb,10000,no_index,create,1,0.7677,2026-05-09T20:41:29
mongodb,10000,no_index,read,1,1.3831,2026-05-09T20:41:29
mongodb,10000,no_index,update,1,1.1972,2026-05-09T20:41:29
mongodb,10000,no_index,delete,1,1.3496,2026-05-09T20:41:29
